Mol. wt.,JR Tm /K,CRC Tm /K
149.1460000000001,413.78,330.65
163.22000000000008,311.28000000000003,328.15
165.1920000000001,312.6,326.15
179.2190000000001,323.87,331.15
149.23700000000014,285.42,398.65
107.15599999999996,266.61,210.15
107.15599999999996,266.61,196.25
107.15599999999996,266.61,182.65
151.16500000000008,320.21000000000004,274.15
151.16500000000008,320.21000000000004,281.65
151.16500000000008,320.21000000000004,296.15
129.188,486.33,473.95
87.14699999999998,222.96,187.65
137.22600000000006,362.96,339.65
88.10999999999996,309.42,367.15
175.18700000000007,386.44,359.65
167.2080000000001,395.03,370.15
162.14800000000005,516.8900000000001,385.15
331.20199999999977,651.8100000000001,391.15
301.34199999999964,486.16,326.15
349.42999999999967,574.87,322.45
372.5529999999994,717.2299999999999,525.15
383.3659999999997,529.2900000000001,278.15
355.69999999999976,642.78,320.85
181.23800000000008,439.15,403.45
196.2530000000001,534.9300000000001,439.15
77.05799999999998,246.08,381.15
111.11899999999996,280.17,244.15
111.11899999999996,280.17,271.25
135.14100000000005,284.44,359.15
121.11399999999998,273.17,307.95
328.2019999999999,640.31,364.85
186.098,496.65,298.95
125.14599999999996,303.96000000000004,287.35
155.12800000000004,364.31,326.35
141.10100000000003,340.52,267.15
141.10100000000003,340.52,314.15
141.10100000000003,340.52,299.65
130.07800000000003,506.83,557.15
255.03200000000004,643.21,505.15
248.19400000000005,595.51,427.15
323.39199999999965,589.01,388.65
247.24700000000013,552.37,418.15
146.14600000000007,508.16,455.15
307.3279999999997,818.56,468.15
612.6400000000016,1543.2399999999998,452.15
217.2680000000001,535.4399999999999,358.15
465.63099999999946,889.9499999999999,439.65
325.2699999999997,856.9699999999999,459.15
189.1710000000001,622.02,489.15
132.11900000000003,481.29,493.15
59.07200000000001,336.33,323.15
214.2680000000001,566.45,503.15
182.22600000000008,521.19,509.65
212.25200000000007,567.21,546.15
255.2740000000001,615.5699999999999,373.15
285.2999999999996,687.6600000000001,383.15
598.7000000000018,1526.82,445.65
255.49000000000032,364.61,322.15
251.45800000000028,346.34,307.15
130.23499999999996,335.17,298.45
122.17099999999996,298.63,241.75
111.18799999999992,233.64,209.35
115.21999999999991,251.91,250.15
255.44600000000028,403.27,378.15
237.43100000000027,335.07,304.54999999999995
241.4630000000003,353.34,319.15
100.16499999999994,364.27,313.65
160.21700000000016,465.17,423.15
306.2789999999997,919.6,410.15
115.17599999999992,290.57,374.15
144.1740000000001,423.76,499.05
116.20799999999991,323.9,311.95
108.14399999999996,287.36,275.35
174.20400000000015,529.0799999999999,454.95
