SMILES,BoilingPoint,MeltingPoint,CriticalTemp,CriticalPress,CriticalVolume,Molecular Weight,EnthalpyVap,Log P
C1=CC=C(C=C1)CCC#N,534.28,282.6,761.7964417113866,31.70400129859589,457.5,131.178,48.382000000000005,2.14278
C1=CC(=CC=C1C2=CC=C(C=C2)N)N,682.54,469.4,947.9418880818037,37.9164745565289,549.5,184.2420000000001,69.464,2.518
C1=CC=C2C(=C1)NC=N2,504.24,407.1,759.8412621321405,54.95106333055099,349.5,118.13899999999995,47.596,1.5628999999999995
C1=CC=C(C=C1)C(=O)NNC2=CC=CC=C2,704.6099999999999,444.36,950.587629120778,33.99943900925634,623.5,212.25200000000007,68.70200000000001,2.4435
C1=CC=C2C(=C1)C=CC3=C2C=CC=N3,620.36,412.15,887.2968134135776,36.33349937742549,548.5,179.2220000000001,56.96,3.3880000000000017
C1=CC=C2C(=C1)C=CC3=C2N=CC=C3,620.36,412.15,887.2968134135776,36.33349937742549,548.5,179.22200000000004,56.96,3.3880000000000017
C1=CC2=NSN=C2C=C1,534.3399999999999,445.79,815.7346876741731,60.750056649427805,351.5,136.17900000000003,50.634,1.6912999999999998
C1=CC=C2C(=C1)N=CS2,503.52,385.52,768.9676237018937,52.50997689561018,358.5,135.19100000000003,46.650000000000006,2.2963000000000005
C1=CC=C2C(=C1)NC(=O)S2,567.03,486.47,841.1991803682037,54.30506085153595,367.5,151.19000000000003,51.153000000000006,1.5895999999999997
C1=CC=C2C(=C1)N=CO2,482.64,328.64000000000004,730.0591808685771,52.28241496657324,333.5,119.12299999999996,45.348,1.8278
C1=CC=C2C(=C1)NC(=O)O2,501.06,384.17,729.1260811437614,48.8338238690941,356.5,135.12200000000004,48.157,1.1210999999999998
C1=CC=C(C(=C1)C2=NC3=CC=CC=C3O2)O,732.2,546.9200000000001,1010.0193032042084,44.802144768274346,527.5,211.22000000000008,74.656,3.200400000000001
C1=CC=C(C=C1)CN,458.97,278.33000000000004,685.6948212090756,44.326162542265,348.5,107.15599999999996,44.093,1.1453
C1=CC=C(C=C1)CNCCO,574.55,331.09000000000003,770.6177914945791,36.909684953693095,485.5,151.20900000000012,61.01899999999999,0.7685
C1=CC=C(C=C1)CC2=CC=C(C=C2)N,627.9100000000001,384.89,880.9860162849475,32.20981213949167,576.5,183.2540000000001,60.387,2.8596000000000004
C1=CC=C(C=C1)CNC2=CC=CC=C2,600.5699999999999,341.77,843.3147886552628,31.175169850119133,582.5,183.2540000000001,55.52,3.298700000000001
CCNCC1=CC=CC=C1,482.37,270.27,691.839079867936,33.10552319306745,466.5,135.21,44.34,1.7961
CCN(CC1=CC=CC=C1)C2=CC=CC=C2,608.5999999999999,344.12,839.5216442639731,25.05007510012515,677.5,211.3080000000001,55.57899999999999,3.7131000000000025
CC(C)NCC1=CC=CC=C1,504.81,266.54,715.9241362928609,29.99151839859687,516.5,149.23700000000014,46.178,2.1846
C1CNCCC1CC2=CC=CC=C2,568.94,363.83,813.8309900158013,30.55785503414688,569.5,175.27500000000012,51.769000000000005,2.2287
C1=CC=C(C=C1)CC2=CC=CC=N2,581.22,349.38,839.4172137807113,34.31886827354471,540.5,169.2270000000001,53.068,2.672400000000001
C1=CC=C(C=C1)CC2=CC=NC=C2,581.22,349.38,839.4172137807113,34.31886827354471,540.5,169.22700000000006,53.068,2.672400000000001
C1=CC=C(C=C1)CSC#N,580.1800000000001,305.73,832.9504744485502,36.158924257539766,455.5,149.21800000000005,52.973,2.400880000000001
C1=CC=C(C(=C1)C2=CC=C(C=C2)N)N,682.54,469.4,947.9418880818037,37.9164745565289,549.5,184.2420000000001,69.464,2.518
C1=CC=NC(=C1)C2=CC=CC=N2,589.16,398.38000000000005,867.761184392388,43.62628675732792,477.5,156.18800000000007,54.82600000000001,2.1435999999999997
C1=CC=NC(=C1)C2=CN=CC=C2,589.16,398.38000000000005,867.761184392388,43.62628675732792,477.5,156.18800000000007,54.82600000000001,2.1436
C1=CC=NC(=C1)C2=CC=NC=C2,589.16,398.38000000000005,867.761184392388,43.62628675732792,477.5,156.18800000000007,54.82600000000001,2.1435999999999997
C1=CC(=CN=C1)C2=CN=CC=C2,589.16,398.38000000000005,867.761184392388,43.62628675732792,477.5,156.18800000000007,54.82600000000001,2.1436
C1=CN=CC=C1C2=CC=NC=C2,589.16,398.38000000000005,867.761184392388,43.62628675732792,477.5,156.18800000000005,54.82600000000001,2.1435999999999997
C1CC(CCC1CC2CCC(CC2)N)N,671.8599999999999,409.07,914.2248341298882,24.801193631847102,685.5,210.36500000000024,66.054,2.4115
C(CNCCNCCN)N,582.28,429.22,778.0081878721154,36.55350189858889,499.5,146.23800000000017,63.104,-1.916999999999998
CN(C)CC(CN(C)C)O,476.38,279.41,637.6301221941474,31.07099224592317,476.5,146.23400000000015,51.55300000000001,-0.5294999999999999
CCCCN(CCO)CCO,579.44,334.03000000000003,735.7358644252017,30.72747921593305,539.5,161.24500000000018,68.803,0.0731
CCN(CCO)CCO,533.68,311.49,690.2145876997961,38.48308899137363,427.5,133.19099999999997,64.351,-0.7071000000000003
CC(C1=CC=CC=C1)NC(C)C2=CC=CC=C2,668.3299999999999,345.58000000000004,906.062386109254,23.496411745480287,738.5,225.33500000000012,61.422,4.0984000000000025
C1=CC=C(C(=C1)N)Br,507.23,339.38,757.3603848692167,54.70746822590247,354.5,172.02500000000003,48.964,2.0313
C1=CC(=CC(=C1)Br)N,507.23,339.38,757.3603848692167,54.70746822590247,354.5,172.02500000000003,48.964,2.0313000000000003
C1=CC(=CC=C1N)Br,507.23,339.38,757.3603848692167,54.70746822590247,354.5,172.02500000000003,48.964,2.0313
C1=CC=C(C=C1)C(C#N)Br,577.12,316.13,829.467315032468,38.916426584745,457.5,196.04700000000005,52.203,2.646180000000001
C1=CC=C(C(=C1)C#N)Br,559.66,332.38,812.8697236616215,42.718612499466005,407.5,182.02000000000004,51.027,2.32078
C1=CC(=CC(=C1)Br)C#N,559.66,332.38,812.8697236616215,42.718612499466005,407.5,182.02,51.027,2.32078
C1=CC(=CC=C1C#N)Br,559.66,332.38,812.8697236616215,42.718612499466005,407.5,182.02000000000004,51.027,2.32078
CN(C)C1=CC=C(C=C1)Br,492.9,311.13000000000005,719.294319299783,38.916426584745,455.5,200.0790000000001,44.818,2.5151000000000003
C1=CC=C2C(=C1)C=NC=C2Br,576.02,394.17,845.9185165853529,47.49689014111801,464.5,208.05800000000005,52.851,2.997300000000001
CC1=CC(=C(C=C1)N)Br,535.09,363.17,781.3593354019665,46.720915879458175,410.5,186.05200000000008,51.852,2.33972
CC1=C(C=CC(=C1)Br)N,535.09,363.17,781.3593354019665,46.720915879458175,410.5,186.05200000000008,51.852,2.33972
C1=CC=C(C(=C1)[N+](=O)[O-])Br,586.54,399.73,857.217050268398,51.23977190103142,407.5,202.007,54.914,2.3573000000000004
C1=CC(=CC(=C1)Br)[N+](=O)[O-],586.54,399.73,857.217050268398,51.23977190103142,407.5,202.007,54.914,2.3573000000000004
C1=CC(=CC=C1[N+](=O)[O-])Br,586.54,399.73,857.217050268398,51.23977190103142,407.5,202.007,54.914,2.3573000000000004
C([N+](=O)[O-])Br,440.48,304.44,676.1192688020612,65.77696740553935,235.5,139.93600000000004,40.846,0.6154999999999999
C1=CC=NC(=C1)Br,460.54,303.87,713.1958372988662,59.4456455767387,318.5,157.99800000000005,41.645,1.8441
C1=CC(=CN=C1)Br,460.54,303.87,713.1958372988662,59.4456455767387,318.5,157.99800000000005,41.645,1.8441
C1=CC=C2C(=C1)C=C(C=N2)Br,576.02,394.17,845.9185165853529,47.49689014111801,464.5,208.05800000000005,52.851,2.997300000000001
C1=CC2=C(C=CC(=C2)Br)N=C1,576.02,394.17,845.9185165853529,47.49689014111801,464.5,208.058,52.851,2.997300000000001
C1=CSC(=N1)Br,459.18,367.54,724.7883879297021,72.80224580367856,274.5,164.02700000000002,42.541,1.9056
CCCC(=O)N,417.52,268.03,612.9531481351203,45.53062298640821,294.5,87.12199999999996,41.885000000000005,0.2718000000000001
C(=CC#N)C#N,499.44,259.74,724.8766328011611,39.0625,291.5,78.074,45.412000000000006,0.5897599999999998
CC=CC#N,397.36,194.75,599.9179445835309,40.31242126480221,265.5,67.09099999999998,34.934000000000005,1.08608
C=CCC#N,389.88,198.07,586.4072196252514,39.805351829553466,266.5,67.09099999999998,34.306,1.08608
CCCCNC(=O)C,440.92,259.97,622.9089208039372,33.88080191792442,412.5,115.17599999999992,42.132000000000005,0.9226
CCCCNCCO,479.23,270.86,644.3479166276747,35.05425171266311,425.5,117.19199999999992,52.065,0.3683999999999999
CC(C)(C)NCCO,476.0,273.28,650.7320790572762,35.85643085087311,414.5,117.19199999999992,50.769000000000005,0.3667999999999998
CCCCC1=CC=C(C=C1)N,532.5899999999999,324.66,749.5669607310878,30.69344157887063,516.5,149.2370000000001,51.43300000000001,2.6114
CCC(C)C1=CC=C(C=C1)N,532.1500000000001,309.66,754.0554195804395,30.96733596369884,510.5,149.2370000000001,51.045,2.7823
CC(C)(C)C1=CC=C(C=C1)N,529.36,327.08,760.7480560836414,31.3499672079343,505.5,149.2370000000001,50.137,2.5663
CCCCNC1=CC=CC=C1,505.25,281.54,711.6772138098368,29.73044004618921,522.5,149.23700000000014,46.566,2.898600000000001
CC(C)(C)NC1=CC=CC=C1,502.02,283.96000000000004,722.1080064836386,30.356153571780915,511.5,149.23700000000014,45.27,2.897000000000001
CCCCOC(=O)CC#N,520.06,275.97,712.6821295730276,27.41152928921904,479.5,141.17000000000007,49.06100000000001,1.24338
CCCCN(C)C,349.32,189.85,511.8911604388847,31.001830348063745,389.5,101.19299999999993,30.993,1.3481
CCCCNC,364.17,198.77,534.5154583684715,35.220878937033866,350.5,87.16599999999994,33.16,1.0059
CCCCC(CCCC)C1=CC=NC=C1,599.8599999999999,330.5,805.7229999920482,20.25405060758101,754.5,205.3450000000002,54.85600000000001,4.545600000000004
CCCCN(C1=CC=CC=C1)C(=O)C,567.1499999999999,333.82000000000005,772.4655601102625,25.559209954596614,623.5,191.27400000000011,53.371,2.839600000000001
CC(C)(C)C1=CC=NC=C1,482.67,291.57000000000005,716.129891454845,33.373815771864614,469.5,135.21000000000004,42.818,2.3791
CCCCSC#N,484.86,245.5,698.4782506195454,34.359113205031825,395.5,115.20099999999996,44.019000000000005,2.00078
C(#CC#N)C#N,504.28,370.92,749.370937365738,44.922338261613326,273.5,76.058,47.60600000000001,0.03696
C1CCC(=O)NCC1,481.74,338.73,725.6792167063063,46.21411647158917,341.5,113.15999999999994,40.865,0.6766000000000001
C1=CC=C2C(=C1)C3=CC=CC=C3N2,588.9000000000001,437.13,845.3853986997748,39.0625,502.5,167.21100000000007,54.818,3.3211000000000013
C(#N)C(=O)C#N,526.27,303.48,754.4287477621018,44.862181136439794,261.5,80.046,49.974,-0.39734
CCCCN(CCCC)SN(C)C(=O)OC1=CC=CC2=C1OC(C2)(C)C,879.6499999999999,576.7,1094.133736638919,14.207756326749406,1139.5,380.5539999999995,85.29599999999999,5.296100000000005
C(C(=O)N)Cl,409.19,275.41,616.1742680993681,56.788206679542434,231.5,93.51299999999998,41.818,-0.2895
C(C#N)Cl,384.87,207.21,588.4916375379591,46.15134688090737,222.5,75.49799999999999,34.909000000000006,0.74878
C1=CC(=CC(=C1)Cl)N,478.5,309.5,716.7695739060284,47.04191057897303,341.5,127.57399999999996,46.914,1.9222
