SMILES,DB_MolecularWeight,DB_BoilingPoint,DB_MeltingPoint,Original_MolecularWeight,Original_BoilingPoint,Original_MeltingPoint
Cc1ccc(O)c(N)c1,123.15,,,123.155,544.57,402.57
Nc1ccc(cc1N)[N+]([O-])=O,153.14,,199.5,153.141,670.42,518.97
Nc1cc(ccc1O)[N+]([O-])=O,154.12,,-90.0,154.125,673.53,534.91
NC1=NC=CC(=O)N1,111.10,,,111.104,561.24,488.55
Nc1oc(C)nn1,99.09,,,99.093,503.35,418.18
OC(=O)c1cc(C)ccc1N,151.16,,,151.165,637.32,475.24
CC(C)CCCC(C)N,129.24,,,129.247,454.29,233.18
Nc1ccc2C(=O)c3ccccc3C(=O)c2c1,223.23,,304.5,223.231,803.53,583.34
CC(=O)c1ccccc1N,135.16,-252.0,20.0,135.166,540.7,352.05
Nc1ccc2nc3ccccc3cc2c1,194.23,,,194.237,697.87,507.93
Nc1ccc2cc3ccccc3cc2c1,193.24,,-241.0,193.249,667.05,447.66
NC(=O)c1ccccc1N,136.15,300.0,110.0,136.154,590.35,424.04
Nc1ccccc1CO,123.15,,,123.155,556.13,351.67
Nc1ccccc1S,125.19,,,125.196,503.93,316.04
Nc1ccccc1C(O)=O,137.14,,-146.0,137.138,609.46,451.45
COC(=O)c1ccccc1N,151.16,256.0,24.4,151.165,545.05,344.45
Nc1ccccc1C#N,,,,118.139,566.03,355.84
Nc1sc2ccccc2n1,150.20,,132.0,150.206,581.03,481.3
NCCS,77.15,,-98.5,77.152,380.75,232.02
NC(O)(C(F)(F)F)C(F)(F)F,183.05,,,183.051,418.88,278.45
Nc1ccccc1C(=O)NO,152.15,,,152.153,660.17,454.26
CCCC(N)C(O)=O,117.15,,,117.148,531.6,374.97
Nc1ccccc1O,109.13,153.0,-174.0,109.128,516.71,378.78
CC(N)CO,75.11,,,75.111,432.51,252.65
Nc1cnccn1,95.10,,,95.105,497.73,387.6
Nc1ccccn1,94.11,210.6,58.1,94.117,466.91,327.33
Nc1ncccn1,95.10,,,95.105,497.73,387.6
Nc1ccc2ccccc2n1,144.17,,132.5,144.177,582.39,417.63
OCCNc1ccccc1,137.18,,,137.182,551.67,319.82
O=C1CCCCCCCN1,141.21,,,141.214,536.04,354.23
O=C1CCCCCCN1,127.18,,,127.187,508.89,346.48
O=C1Nc2ccccc2O1,135.12,335.0,142.0,135.122,501.06,384.17
Nc1ccccc1Br,172.02,,,172.025,507.23,339.38
NCCBr,123.98,,,123.981,384.05,255.36
CCC(C)N,73.14,63.0,-104.0,73.139,363.21,203.1
NC(=O)C#CC(N)=O,,,,112.088,552.92,507.32
Cc(ccc1Cl)cc1N,141.60,,,141.601,506.36,333.29
NC(F)(F)C(F)Cl,133.50,,,133.5,349.46,214.67
FC(Cl)C(F)(F)N(C(F)(F)F)C(F)(F)F,269.49,,,269.494,324.29,194.8
FC(N(C(F)(F)F)C(F)(F)F)C(F)(F)Cl,269.49,,,269.494,324.29,194.8
NCC(F)Cl,97.52,,,97.52,354.15,211.07
NC(=O)C(Cl)=C,105.52,,,105.524,428.63,270.96
Cc1ccc(N)c(Cl)c1,141.60,219.0,7.0,141.601,506.36,333.29
NC(=O)c1ccc(cc1Cl)[N+]([O-])=O,200.58,,,200.581,712.07,526.83
NC(=O)CCl,93.51,225.0,-120.0,93.513,409.19,275.41
ClCC(=O)Nc1ccccc1,169.61,,-88.0,169.611,550.79,338.85
Nc1ccccc1Cl,127.57,208.8,-14.0,127.574,478.5,309.5
NC(=O)c1ccccc1Cl,155.58,,,155.584,555.25,370.7
NCCCl,79.53,,,79.53,355.32,225.48
ClCCNCCCl,142.02,,,142.029,416.15,247.34
CN(C)C(=O)CCl,121.56,,,121.567,394.86,247.16
CN(C)CCCl,107.58,,,107.584,340.99,197.23
ONC(=O)c1ccccc1Cl,171.58,,,171.583,625.07,400.92
CNCCCl,93.55,,,93.557,355.84,206.15
NC(=O)CC#N,,,,84.078,496.72,321.75
CN(C)CC#N,,,,84.122,405.64,232.3
CCOc1ccccc1N,137.18,,,137.182,509.25,324.35
CCOc1ccccc1C(N)=O,165.19,,,165.192,586,385.55
CCOCCN,89.14,,,89.138,386.07,240.33
CCOCCNC,103.16,,,103.165,386.59,221
CCC(C)(CC)CN,115.22,,,115.22,429.06,254.33
CCc1ccccc1N,121.18,209.65,-46.5,121.183,486.83,302.12
CCC(CC)CN,101.19,125.0,,101.193,408.97,225.64
CCCCC(CC)CN,129.24,,,129.247,454.73,248.18
CCCCC(CC)CNCC(CC)CCCC,241.46,,,241.463,614.97,292.74
NC1CCCC1F,103.14,,,103.14,396.41,236.62
CC(C)(F)CN,91.13,,,91.129,359.69,221.11
NC(=O)CF,77.06,,108.0,77.058,371.03,246.08
FCC(=O)Nc1ccccc1,153.15,,,153.156,512.63,309.52
NC(=O)c1ccccc1F,139.13,,,139.129,517.09,341.37
CCC(F)CN,91.13,,,91.129,362.48,203.69
NCCF,63.07,,,63.075,317.16,196.15
