Property,Model,Kernel,Anisotropic?,LML,Test_MAPD,Train_MAPD,Test_MAE,Train_MAE,Test_R2,Train_R2
Tc,2,RQ,False,-129.21323900037828,4.967742990552509,1.6543171234177965,27.150139408877187,9.761962545016978,0.8777891163207526,0.9865017432245153
Tc,3,RQ,False,-15.877451046780266,4.472232720683176,3.2005227213759655,23.06079488011842,17.835026411036463,0.8953677002843079,0.9512324169548309
Tc,4,RQ,False,-14.919986004958105,4.464399928714024,3.1975909816289816,23.03558652385038,17.819308932019663,0.8955390395882906,0.9512508115493823
Tc,1,RBF,False,-28.50757389376622,4.576872275051707,3.53208309372766,23.865511349926653,19.95713384352445,0.9010584982672526,0.9415107345743974
Tc,2,RBF,False,-178.4896815032606,5.2818387464070655,3.286240617670183,29.18448152215357,18.54997304626429,0.8518501488827688,0.9530627736420834
Tc,3,RBF,False,-19.17394939101473,4.487911122138682,3.241343961640591,23.130516486396804,18.024874336433175,0.8979163555302894,0.9503065280193
Tc,4,RBF,False,-17.37237999034346,4.474223224029115,3.2272773474823624,23.07697662609788,17.941270597384253,0.8970280145464745,0.9505929682626186
Tc,1,Matern12,False,-33.15050055641734,4.240020157044996,2.368551787258178,21.888822908851758,13.277301149720019,0.9082782498986863,0.971783322360642
Tc,2,Matern12,False,-156.41265823276046,5.068145275174969,2.62074995748572,27.296820251677826,15.046109330634431,0.8823517754306627,0.9695461220367385
Tc,3,Matern12,False,-21.8281177286799,4.290022236860776,2.5783826901800135,22.1563132986437,14.455187115738042,0.9065820435103363,0.9672163880125981
Tc,4,Matern12,False,-19.963911985854224,4.284143577393604,2.6085106631672486,22.14585597607055,14.62303368155954,0.9071925206133745,0.9664267457905791
Tc,1,Matern32,False,-18.21830536775326,4.467739204183111,3.207632293398086,23.121342544420976,17.94236843380596,0.8972564755947237,0.9511224748505629
Tc,2,Matern32,False,-172.40215240773853,5.091655253117042,3.172312961528545,27.54787749167939,17.932451810085237,0.8790250675127664,0.9561868656781609
Tc,3,Matern32,False,-14.714139484148063,4.459663446542666,3.1926529603115075,23.061586774307507,17.858154958555172,0.8978339588847967,0.951514406847163
Tc,4,Matern32,False,-14.226214924441592,4.454329033384232,3.1870019130578418,23.040625360157733,17.825268907233855,0.8979457979556542,0.9516262274277684
Tc,1,Matern52,False,-21.11447446571856,4.492337938113971,3.241928040908632,23.21179246605572,18.0926970497651,0.896074055344339,0.9503427910228465
