Mol. wt.,JR Vc /(cm3 mol-1),CRC Vc /(cm3 mol-1)
85.14999999999995,286.5,294.0
58.08000000000002,220.5,218.0
44.09700000000002,203.5,199.0
74.12699999999995,261.5,257.0
76.09499999999997,235.5,237.0
76.09499999999996,241.5,255.0
55.08000000000001,229.5,211.0
76.16399999999996,257.5,286.0
74.07899999999998,227.5,232.0
60.096000000000025,222.5,220.0
60.096000000000025,216.5,226.0
42.08100000000002,184.5,184.0
104.14899999999994,352.5,364.0
118.17599999999992,402.5,417.0
102.13299999999995,341.5,346.0
59.11200000000002,232.5,230.0
120.19499999999992,431.5,441.0
164.2040000000001,513.5,530.0
130.18699999999995,453.5,463.0
126.2429999999999,472.5,489.0
132.159,409.5,432.0
130.18699999999995,447.5,463.0
144.21400000000014,503.5,523.0
116.15999999999994,397.5,403.0
40.06500000000001,165.5,160.0
80.08999999999997,249.5,225.0
79.10199999999998,256.5,248.0
67.09099999999998,210.5,222.0
71.12299999999998,238.5,259.0
129.16199999999998,402.5,382.0
110.11199999999997,195.5,292.0
104.15199999999994,356.5,357.0
118.08799999999997,307.5,308.0
230.3100000000001,719.5,737.0
230.3100000000001,719.5,747.0
230.3100000000001,719.5,713.0
153.823,276.5,276.0
338.6639999999991,1379.5,1585.0
198.39400000000023,819.5,870.0
228.37600000000023,843.5,921.0
214.39300000000023,838.5,887.0
212.37700000000024,825.5,896.0
196.37800000000024,800.5,851.0
194.2270000000001,575.5,608.0
150.074,335.5,312.0
150.074,335.5,311.0
150.074,335.5,309.0
102.03,208.5,200.0
102.03,207.5,192.0
100.014,201.5,183.0
168.036,306.5,315.0
88.00300000000001,152.5,140.0
72.10699999999997,222.5,223.0
132.206,437.5,431.0
86.13399999999996,270.5,278.0
88.17499999999995,247.5,276.0
134.222,487.5,489.0
142.2860000000001,573.5,574.0
142.2860000000001,573.5,600.0
128.2589999999999,517.5,514.0
128.2589999999999,516.5,517.0
128.2589999999999,517.5,532.0
128.2589999999999,516.5,517.0
102.20199999999994,295.5,284.0
84.14299999999997,219.5,230.0
150.22100000000012,447.5,528.0
92.14099999999996,319.5,314.0
422.826,1715.5,2055.0
252.731,271.5,261.0
181.833,338.5,331.0
137.368,245.5,248.0
